#afm_tbls.table_name,table_type
afm_bim_families,APPLICATION DICTIONARY
afm_bim_categories,APPLICATION DICTIONARY
afm_bim_param,APPLICATION DICTIONARY
afm_wf_rules,APPLICATION DICTIONARY
afm_atyp,APPLICATION DICTIONARY
afm_dwgpub,APPLICATION DICTIONARY
messages,APPLICATION DICTIONARY
afm_activity_params,APPLICATION DICTIONARY
afm_scmpref,APPLICATION DICTIONARY
afm_layr,APPLICATION DICTIONARY
afm_tbls,DATA DICTIONARY
afm_flds,DATA DICTIONARY
afm_flds_lang,DATA DICTIONARY
afm_tasks,PROCESS NAVIGATOR
afm_subtasks,PROCESS NAVIGATOR
afm_ptasks,PROCESS NAVIGATOR
afm_psubtasks,PROCESS NAVIGATOR
afm_processes,PROCESS NAVIGATOR
afm_actprods,PROCESS NAVIGATOR
afm_activity_cats,PROCESS NAVIGATOR
afm_products,PROCESS NAVIGATOR
afm_activities,PROCESS NAVIGATOR
afm_wf_steps,PROJECT APPLICATION DATA
afm_hotlist,PROJECT APPLICATION DATA
afm_tclevel,PROJECT APPLICATION DATA
afm_roleprocs,PROJECT SECURITY
afm_roles,PROJECT SECURITY
afm_groupsforroles,PROJECT SECURITY
afm_groups,PROJECT SECURITY
afm_userprocs,PROJECT SECURITY
afm_users,PROJECT SECURITY
